Date,Close,High,Low,Open,Volume
02/01/2015,24.34717369,24.81705891,23.90623813,24.80592351,212818400
05/01/2015,23.66127014,24.19573682,23.47420774,24.11556673,257142000
06/01/2015,23.66350365,23.92405565,23.30051075,23.7258578,263188400
07/01/2015,23.99531364,24.09552541,23.76148392,23.87283109,160423600
08/01/2015,24.91726875,24.97516976,24.20687329,24.32490271,237458000
09/01/2015,24.94399452,25.22013504,24.54314401,25.09097191,214798000
12/01/2015,24.32935715,25.08206342,24.22914537,25.07538286,198603200
13/01/2015,24.54537201,25.11992385,24.25364295,24.81483197,268367600
14/01/2015,24.45184517,24.60550315,24.16234178,24.28259695,195826400
15/01/2015,23.78821182,24.50974108,23.75258161,24.49637997,240056000
16/01/2015,23.60337067,23.95745552,23.42744195,23.83497296,314053200
20/01/2015,24.21132851,24.26700209,23.71694681,24.0153564,199599600
21/01/2015,24.39617157,24.73243888,24.11112132,24.26255357,194303600
22/01/2015,25.03083801,25.04642654,24.43401726,24.55427238,215185600
23/01/2015,25.16000748,25.33148137,24.83709966,25.00857526,185859200
26/01/2015,25.18673325,25.46732863,25.11992595,25.32925751,222460000
27/01/2015,24.30485916,25.04865911,24.28036265,25.0352963,382274800
28/01/2015,25.67888641,26.30465873,25.67888641,26.19553727,585908400
29/01/2015,26.47836113,26.5429427,25.73456104,25.90380924,337745600
30/01/2015,26.09086609,26.72331711,26.0218297,26.36700656,334982000
02/02/2015,26.41823006,26.53848521,25.85036049,26.28906863,250956400
03/02/2015,26.42268944,26.52067381,26.19108707,26.38928494,207662800
04/02/2015,26.62533569,26.83689634,26.34696776,26.38928023,280598800
05/02/2015,26.81537056,26.88020699,26.6611045,26.83325512,168984800
06/02/2015,26.58956337,26.88467995,26.48224747,26.83325736,174826400
09/02/2015,26.76618767,26.79301536,26.47777799,26.5046074,155559200
10/02/2015,27.28040695,27.30947257,26.86456228,26.86679678,248034000
11/02/2015,27.91982269,27.92876583,27.38771905,27.44808307,294247200
12/02/2015,28.2730732,28.50111887,28.07409314,28.18364355,297898000
