Date,Close,High,Low,Open,Volume,MA10,MA50,Return
16/03/2015,27.93547058,27.93547058,27.47043962,27.69624733,143497200,28.120816038999997,26.7072460172,0.011004282279977406
17/03/2015,28.40274048,28.4653407,28.09197386,28.14786716,204092400,28.068946647,26.788357352999995,0.01672675957477998
18/03/2015,28.72245026,28.87671632,28.25294686,28.39379737,261083600,28.067381667999996,26.889580955399996,0.011256300434288269
19/03/2015,28.50558472,28.89683784,28.48322774,28.78505123,183238000,28.091750908,26.9864225768,-0.007550384387017717
20/03/2015,28.14786148,28.70679268,27.98241782,28.67325807,274780400,28.076099777000003,27.069473533600004,-0.012549233545418814
23/03/2015,28.44074821,28.58383493,28.28648215,28.42062744,150838800,28.077664756,27.139943122799995,0.010405292430762714
24/03/2015,28.32448959,28.62631137,28.29542399,28.44521933,131369200,28.126403426000003,27.207553024200003,-0.004087748294861027
25/03/2015,27.58446121,28.35355358,27.58446121,28.29095335,206620800,28.1518898,27.2726551054,-0.02612680372045495
26/03/2015,27.77673531,27.91982202,27.41007538,27.44584791,190291600,28.147194862,27.337282371399997,0.006970377218399104
27/03/2015,27.55539894,27.87957942,27.47938487,27.85051552,158184800,28.139594078,27.399353446799996,-0.007968408365122581
30/03/2015,28.25295067,28.25965759,27.72308148,27.73426082,188398800,28.171342087,27.488648223800002,0.025314521176734717
31/03/2015,27.81921577,28.27977606,27.80356572,28.19034643,168362400,28.112989616,27.5729651258,-0.01535184431056813
01/04/2015,27.77897072,27.97348002,27.52186119,27.90640738,162485600,28.018641662,27.644317969999996,-0.0014466637137701133
02/04/2015,28.01818848,28.07184556,27.76555142,27.95335206,128880400,27.969902037999997,27.7167583082,0.008611469532518345
06/04/2015,28.4720459,28.50781843,27.7968556,27.82815571,148776000,28.00232048,27.785582466,0.01619867109980988
07/04/2015,28.17246056,28.64419846,28.16575363,28.53688427,140049200,27.975491714999997,27.8458315276,-0.010522086858535173
08/04/2015,28.08079529,28.25965454,27.93994478,28.13668859,149316800,27.951122285000004,27.903712768400002,-0.003253718992871635
09/04/2015,28.29542732,28.29989974,27.87063955,28.13669053,129936000,28.022218896,27.983524131600003,0.007643374334074915
10/04/2015,28.41615105,28.44074423,28.00477721,28.15904155,160752000,28.08616047,28.0382694244,0.0042665455670523045
13/04/2015,28.36026573,28.74481369,28.30660863,28.70009631,145460400,28.166647149,28.075907516399997,-0.001966674512029032
14/04/2015,28.23730659,28.45864367,28.15011315,28.39380721,102098400,28.165082741,28.1188363264,-0.004335613113452985
15/04/2015,28.34460831,28.42285858,28.1724577,28.26188732,115881600,28.217621995000002,28.1573638914,0.0037999984048762148
16/04/2015,28.20823479,28.41615796,28.19482094,28.23282798,113476000,28.260548402,28.1930747984,-0.004811268460954143
17/04/2015,27.89075661,28.20152322,27.82592017,28.06961585,207828000,28.247805215,28.218383216800003,-0.011254804930670326
20/04/2015,28.52794075,28.64419807,27.98465779,28.07408741,188217200,28.2533947,28.252634620600002,0.022845710100655392
21/04/2015,28.3736763,28.66208423,28.3200175,28.63972896,129740400,28.273516273999995,28.288316879199996,-0.005407486343016132
22/04/2015,28.75598145,28.81187474,28.24176415,28.39155777,150618000,28.341034889999996,28.3281127548,0.013473937813268222
23/04/2015,28.99074173,29.15842166,28.64867494,28.68444748,183083600,28.410566331000002,28.3623194504,0.00816387645847505
24/04/2015,29.12711716,29.20536914,28.89236461,29.17406903,178103600,28.481662942000003,28.386465339799997,0.00470410282255318
27/04/2015,29.65698814,29.76430575,29.32162829,29.58097406,387816800,28.611335182999994,28.4141436386,0.018191672628957045
28/04/2015,29.18971825,30.07953868,28.96838295,30.06165583,475696000,28.706576349,28.4297042848,-0.01575581066405618
29/04/2015,28.76046181,29.42000219,28.68444772,29.10029409,253544400,28.748161699,28.4333261492,-0.014705741121704752
30/04/2015,27.98019028,28.76046038,27.8527536,28.76046038,332781600,28.725357248,28.4173630144,-0.027130006992053923
01/05/2015,28.82976913,29.09358734,28.01372816,28.19258573,234050400,28.8192585,28.4195988084,0.03036358371755865
04/05/2015,28.77387619,29.19196048,28.67550342,28.95273547,203953200,28.843852044,28.4160216524,-0.001938723121505559
05/05/2015,28.12551498,28.71798272,28.12104256,28.65091006,197085600,28.819035911999997,28.3838270952,-0.02253298115689162
06/05/2015,27.94889259,28.33790957,27.57999639,28.29543011,288564000,28.738327026,28.351811409000003,-0.006279792214492597
